474.83,084.00
475.88,121.19
482.72,139.47
490.44,117.50
499.61,154.88
501.00,103.94
503.08,127.52
506.77,107.75
510.00,151.66
510.33,152.16
512.19,121.83
515.08,153.77
515.83,116.36
516.22,122.08
516.77,160.69
516.88,108.63
517.38,126.94
521.08,139.41
521.13,161.91
521.41,080.72
521.44,137.88
522.33,145.16
522.41,117.44
523.33,133.33
523.41,120.30
523.55,133.00
523.55,149.55
524.27,142.88
524.30,145.25
525.25,155.91
525.38,153.52
525.38,154.97
525.69,139.88
526.36,151.63
526.58,154.52
526.66,096.91
526.66,148.33
527.05,153.27
527.08,150.58
527.08,152.30
527.58,153.36
527.72,154.77
527.83,152.55
527.83,154.13
527.91,144.55
528.11,153.50
528.13,151.25
528.33,153.33
528.36,154.66
528.47,155.52
528.61,150.41
528.61,153.41
528.66,153.33
528.75,153.77
528.80,154.66
529.08,152.83
529.19,142.44
529.25,152.08
529.86,100.16
530.08,139.44
530.69,150.77
531.19,100.30
531.38,088.33
531.52,143.86
531.66,076.66
532.05,149.55
532.25,150.77
532.52,147.00
532.66,135.02
533.75,142.50
533.91,117.33
534.05,129.36
534.19,150.75
535.88,133.36
536.36,128.11
536.86,122.63
537.44,143.66
537.77,129.47
539.69,142.25
540.00,118.33
540.00,142.50
540.47,107.30
541.69,140.38
541.69,145.77
541.94,079.36
542.97,078.58
543.33,122.00
544.08,137.80
544.44,095.83
545.13,092.50
545.91,131.66
546.97,139.75
547.80,136.25
548.05,093.88
548.33,138.33
549.05,137.36
549.22,140.02
549.50,084.66
549.50,096.52
549.75,148.52
550.08,098.05
551.05,124.22
553.19,130.44
553.33,097.72
553.88,140.83
554.58,138.75
554.97,143.19
555.00,143.33
556.02,115.86
556.69,148.47
556.75,095.88
557.47,148.63
558.55,115.13
560.94,109.22
561.02,147.52
562.25,145.44
564.58,145.00
565.00,137.22
566.69,117.44
568.38,150.58
568.63,146.88
569.61,126.08
570.08,158.47
570.83,159.16
571.66,105.00
571.75,105.77
572.30,100.41
573.47,154.75
575.11,144.91
575.19,092.08
575.83,139.58
576.52,101.97
577.22,148.33
577.58,102.30
577.91,144.97
579.33,140.94
580.83,106.05
581.66,113.33
582.36,115.25
582.66,104.38
582.97,124.52
583.33,107.22
583.91,146.52
584.77,120.58
585.00,103.33
585.66,108.33
585.75,129.88
585.75,144.13
586.66,106.66
586.77,120.55
587.19,135.47
587.25,125.83
588.08,122.13
588.30,118.52
588.80,138.63
590.00,100.00
590.41,120.16
592.83,133.75
593.75,131.33
594.47,145.63
595.00,106.66
595.16,134.97
595.77,107.52
595.83,109.94
596.66,128.33
598.33,140.00
598.36,132.80
600.02,129.44
600.86,108.36
601.66,133.33
602.16,136.69
603.33,111.66
603.33,116.66
603.36,116.38
603.36,120.02
604.88,105.69
605.00,125.00
605.02,129.75
605.05,113.58
605.50,131.61
606.72,125.86
607.47,108.36
607.66,116.69
607.72,122.22
607.80,136.16
608.36,114.72
609.97,116.11
610.80,124.47
611.66,121.66
612.36,116.91
612.36,122.27
613.33,121.66
613.33,130.00
615.02,110.80
